H1-H3K4me3	0.956	0.955	0.923
H1-H3K9ac	0.801	0.92	0.827
H1-H3K27ac	0.701	0.883	0.823
H1-H3K27me3	0.607	0.903	0.906
K562-H3K4me3	0.858	0.918	0.831
K562-H3K9ac	0.836	0.923	0.832
K562-H3K27ac	0.823	0.907	0.852
GM12878-H3K4me3	0.831	0.911	0.825
GM12878-H3K9ac	0.823	0.925	0.86
GM12878-H3K27ac	0.78	0.901	0.83

