						AUPR	AUROC	   ACC
H1- H3K4me3	 		0.856	 0.946	 0.858		
H1-H3K9ac		 		0.724	 0.908	 0.841
H1-H3K27ac		 		0.508	 0.862	 0.881
H1-H3K27me3	 		0.511	 0.901	 0.920
K562-H3K4me3	 		0.887	0.961	0.919
K562-H3K9ac			0.891	0.967	0.921
K562-H3K27ac			0.892	0.965      0.918	
GM12878-H3K4me3		0.843	0.944	0.896
GM12878-H3K9ac		0.860	0.961	0.911
GM12878-H3K27ac		0.840	0.952	0.901
