						AUPR	AUROC	   ACC
H1- H3K4me3		0.945	0.956	0.806	 				 		 		
H1-H3K9ac		0.637	0.872	0.798 		
H1-H3K27ac		0.606	0.847	0.798		
H1-H3K27me3	 		
K562-H3K4me3		0.747	0.87	0.820 		
K562-H3K9ac		0.723	0.869	0.806	
K562-H3K27ac			
GM12878-H3K4me3		0.698	0.863	0.802
GM12878-H3K9ac		0.705	0.863	0.813
GM12878-H3K27ac		0.666	0.847	0.798
